name,deleted,hidden_profile,artist_id,country,location,info_line,member_since,upload_count,vote_count,oneliner_count,last_login,ultimate_song_id,avatar_path
admchm,0,0,,pl,,,2014-08-06,0,74,0,2015-02-09,,
adrenalinetooth,0,0,,ca,Edmonton,,2015-05-03,0,34,1,2018-04-14,,
adrius,0,0,,eu,,,2013-04-06,0,0,0,2013-04-06,,
adsfdgfhgjhkjlk,0,0,,hg,,,2014-02-05,0,2,2,2017-01-19,,
AdvertisePlay,0,0,2193,il,,=),2010-03-14,25,63,0,2018-04-18,,/static/media/avatars/yai7av_.gif
aeon,0,0,,,,,2010-11-23,0,11,0,2011-01-12,,
Aetrin,0,0,,no,Trondheim,,2011-10-27,0,3584,0,2013-10-15,,
aevoc,0,0,,fr,,,2011-01-25,0,4,0,2017-07-11,,
Agamination,0,0,,il,,,2013-02-08,0,0,0,2013-02-08,,
Aganel,0,0,,ru,,,2013-05-04,0,4,0,2013-05-19,,
agatonspik,0,0,860,se,,,2014-07-28,8,0,0,2017-09-30,,
agrecascino,0,0,,nectaflag,,,2015-10-31,0,0,94,2017-06-06,,
aheil,0,0,,de,,,2012-03-07,0,4,0,2012-05-03,,
Airlight,0,0,,ro,Bucharest,Older RTT member,2010-10-18,0,3,0,2012-02-02,,
ajwen,0,0,,pl,,,2013-10-23,36,103,0,2015-10-05,,
akabaka,0,0,,,,,2009-03-02,0,7,0,2009-03-16,,
akem,0,0,,fr,,,2011-10-05,0,0,0,2011-10-05,,
akole,0,0,5002,fi,,,2009-03-24,0,5,0,2013-02-28,6866,
Akshaal,1,,,,,,,0,6314,,2013-01-01,,
AksTis,0,0,,ru,,,2011-02-14,0,1,0,2017-12-30,,
akurei,0,0,,de,Würzburg,Infoline?,2010-05-10,0,3,0,2011-01-05,,/static/media/avatars/akurei_by_kaze_quadr_100x100.gif
alabanzai,0,0,,,,,2008-11-22,0,13,0,2010-03-04,,
Alac,0,0,,ch,,,2014-03-11,0,26,968,2017-10-28,,
Aladin1001,0,0,,de,,,2009-04-14,0,1,0,2014-11-20,,
Alain,0,0,,hu,,,2011-07-23,0,157,0,2017-09-27,,
Alder,0,0,,ua,,,2010-01-02,0,2,0,2010-05-14,,
aldroid,0,0,,nectaflag,,,2016-10-14,0,2,5,2017-08-24,,
alebu,0,0,,lt,Vilnius,Speccy rules!,2010-01-10,0,347,0,2013-07-26,,
alecs,0,0,,us,,,2009-03-06,6,332,0,2016-11-22,,
aleem,0,0,,gb,,,2013-08-11,0,2,0,2013-10-07,,
alekmaul,,,,,,,,,,,,,
alex_schroedsen,0,0,,us,,,2012-09-11,0,0,0,2012-09-11,,
AlexD,0,0,,33,Grenoble,,2010-01-11,0,0,0,2018-01-30,,
alexdsp,0,0,,ru,,,2013-02-06,0,2,0,2013-02-06,,
alexkid,0,0,,nectaflag,,,2015-11-26,0,1,0,2015-11-27,,
alexkyriak,0,0,,gb,,,2011-07-25,0,0,0,2011-07-25,,
AlexLAV,0,0,,ru,,,2012-10-09,0,1,0,2012-10-09,,
alexvoda,0,0,,ro,,,2015-11-02,1,0,0,2015-11-04,,
Alexxm,0,0,,ee,,,2013-02-10,0,0,0,2013-02-10,,
ALFik,0,0,,pl,,,2013-12-10,0,0,0,2013-12-10,,
aliattila,0,0,,de,,,2009-10-09,0,1,0,2018-01-24,,
